国别,过敏原,食品举例,法规依据
CAC(8种),含有麸质的谷类食品,小麦、黑麦、大麦、燕麦,《预包装食品标签通则》
CAC(8种),甲壳类动物及其产品,蟹、虾,《预包装食品标签通则》
CAC(8种),蛋及蛋类产品,鸡蛋,《预包装食品标签通则》
CAC(8种),鱼及鱼类产品,鲭鱼、鳕鱼,《预包装食品标签通则》
CAC(8种),花生、大豆及其产品,花生,《预包装食品标签通则》
CAC(8种),乳及其产品(包括乳糖),大豆,《预包装食品标签通则》
CAC(8种),树生坚果及其产品,杏仁、腰果、核桃,《预包装食品标签通则》
CAC(8种),浓度大于10mg/kg的亚硫酸盐,/,《预包装食品标签通则》
欧盟(14种),含有麸质的谷类食品,小麦、黑麦、大麦、燕麦、玉米等,《欧盟食品标签法规》
欧盟(14种),甲壳类动物及其产品,蟹、虾,《欧盟食品标签法规》
欧盟(14种),蛋及蛋类产品,鸡蛋,《欧盟食品标签法规》
欧盟(14种),鱼及鱼类产品,鲭鱼、鳕鱼,《欧盟食品标签法规》
欧盟(14种),花生及其产品,花生,《欧盟食品标签法规》
欧盟(14种),大豆及其产品,大豆,《欧盟食品标签法规》
欧盟(14种),乳及其产品(包括乳糖),牛奶、乳制品,《欧盟食品标签法规》
欧盟(14种),坚果及其产品,杏仁、榛子、核桃等,《欧盟食品标签法规》
欧盟(14种),芹菜及其产品,芹菜,《欧盟食品标签法规》
欧盟(14种),芥末及其产品,芥末,《欧盟食品标签法规》
欧盟(14种),芝麻及其产品,芝麻,《欧盟食品标签法规》
欧盟(14种),二氧化硫和亚硫酸盐,/,《欧盟食品标签法规》
欧盟(14种),羽扇豆及其产品,羽扇豆,《欧盟食品标签法规》
欧盟(14种),软体动物及其产品,贝类、章鱼、鱿鱼,《欧盟食品标签法规》
